,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Oakland Technical High,248.0,Oakland Technical High School,public,9-12,2016.0,8.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"4351 Broadway, 
Oakland, CA  94611",(510) 450-5400,(510) 879-3059,http://oaklandtech.com/staff/,62805004305.0,37.831726,-122.25413,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,4.0,,5.0,,21,402,83,96,54606,6,5,7,54,482,47,211,32,468,26,202,67,55,89,86,48
Skyline High,259.0,Skyline High School,public,9-12,1845.0,4.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"12250 Skyline Boulevard, 
Oakland, CA  94619",(510) 482-7109,(510) 482-7296,http://ousdhs.ousd.k12.ca.us/skyline/site/default.asp,62805004315.0,37.797497,-122.1636,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,5.0,,18,619,75,90,48014,5,5,5,45,233,44,174,28,174,27,127,50,49,78,78,76
Piedmont High,275.0,Piedmont High School,public,9-12,800.0,10.0,4.0,Piedmont,CA,15.0,Piedmont City Unified School District,630330.0,"800 Magnolia Avenue, 
Piedmont, CA  94611",(510) 594-2626,,,63033004731.0,37.823673,-122.2329,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,,,,,17,287,94,100,74729,,,,,,,,,,,,,,,,
San Leandro High,300.0,San Leandro High School,public,9-12,2597.0,4.0,3.0,San Leandro,CA,17.0,San Leandro Unified School District,634680.0,"2200 Bancroft Avenue, 
San Leandro, CA  94577",(510) 618-4600,(510) 614-0986,http://www.slhs.net,63468005842.0,37.71713,-122.14256,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,3.0,,4.0,,30,862,95,100,85869,4,4,6,49,597,44,356,21,603,18,358,38,34,89,89,62
KIPP King Collegiate High,17514.0,KIPP King Collegiate High School,charter,9-12,559.0,9.0,4.0,San Lorenzo,CA,18.0,San Lorenzo Unified School District,634710.0,"2005b Via Barrett, 
San Lorenzo, CA  94580",(510) 317-2330,(510) 317-2333,www.kippbayarea.org,63471011893.0,37.67432,-122.15008999999999,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,10.0,,10.0,,10.0,,20,,0,100,72253,10,10,10,84,141,85,34,55,141,59,34,100,100,93,94,69
Arroyo High,1728.0,Arroyo High School,public,9-12,2228.0,7.0,4.0,El Monte,CA,273.0,El Monte Union High School District,612120.0,"4921 North Cedar Avenue, 
El Monte, CA  91732",(626) 444-9201,(626) 443-1175,www.emuhsd.org/ahs,61212001363.0,34.09368,-118.02058999999998,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,4.0,,6.0,,23,372,92,100,75108,6,6,9,54,534,51,463,39,533,38,462,56,54,91,91,86
San Lorenzo High,316.0,San Lorenzo High School,public,9-12,1386.0,3.0,4.0,San Lorenzo,CA,18.0,San Lorenzo Unified School District,634710.0,"50 East Lewelling Boulevard, 
San Lorenzo, CA  94580",(510) 317-3000,(510) 278-0547,http://slzhs.schoolloop.com/,63471005859.0,37.686687,-122.12256000000001,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,18,349,76,47,52893,3,3,4,41,322,38,235,16,318,16,229,38,37,90,89,77
Dublin High,56.0,Dublin High School,public,9-12,2273.0,10.0,4.0,Dublin,CA,6.0,Dublin Unified School District,600019.0,"8151 Village Parkway, 
Dublin, CA  94568",(925) 833-3300,(925) 833-3322,www.dublinusd.org,60001909273.0,37.720997,-121.92638999999998,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,9.0,,8.0,,24,379,77,100,88224,10,8,10,81,616,69,62,66,609,43,60,75,45,97,94,9
Foothill High,6519.0,Foothill High School,public,9-12,1275.0,7.0,4.0,Palo Cedro,CA,742.0,Shasta Union High School District,636600.0,"9733 Deschutes Road, 
Palo Cedro, CA  96073",(530) 547-1700,(530) 245-2700,www.foothillcougars.com/,63660010326.0,40.528996,-122.23866000000001,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,5.0,,6.0,,24,338,91,100,80114,7,6,7,58,296,51,75,42,296,33,75,44,33,96,93,24
Amador Valley High,279.0,Amador Valley High School,public,9-12,2628.0,9.0,4.0,Pleasanton,CA,16.0,Pleasanton Unified School District,600020.0,"1155 Santa Rita Road, 
Pleasanton, CA  94566",(925) 461-6100,(925) 461-6133,www.pleasanton.k12.ca.us/amador,60002009282.0,37.668296999999995,-121.87326999999999,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,6.0,,24,425,93,99,94108,10,6,10,80,632,53,51,71,624,41,51,73,56,97,90,6
Amador High,322.0,Amador High School,public,9-12,645.0,8.0,3.0,Sutter Creek,CA,23.0,Amador County Unified School District,602450.0,"330 Spanish Street, 
Sutter Creek, CA  95685",(209) 257-7300,(209) 267-5942,http://www.amadorhigh.org/,60245008786.0,38.398773,-120.8097,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,5.0,,7.0,,25,331,92,100,60721,7,7,7,63,155,66,71,29,156,25,72,43,24,97,96,40
Argonaut High,323.0,Argonaut High School,public,9-12,498.0,6.0,4.0,Jackson,CA,23.0,Amador County Unified School District,602450.0,"501 Argonaut Lane, 
Jackson, CA  95642",(209) 257-7700,(209) 223-3149,http://amadorcoe.org/,60245008787.0,38.353825,-120.79177,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,4.0,,4.0,,23,254,89,98,60151,5,4,5,49,87,39,31,26,88,29,31,26,19,98,96,37
Come Back Butte Charter,32570.0,Come Back Butte Charter,charter,11-12,,,,Oroville,CA,1087.0,Butte County Office Of Education School District,691002.0,"5 County Center Drive, 
Oroville, CA  95965",(530) 532-5827,,www.bcoe.org/divisions/sps,69100214048.0,39.52438,-121.57068000000001,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,8,8,8,,,,,,,,,,,8,8,
Achieve Charter High,32571.0,Achieve Charter High,charter,9-12,,,,Paradise,CA,1087.0,Butte County Office Of Education School District,691002.0,"5850 Clark Road, 
Paradise, CA  95969",(530) 872-4100,,www.achsparadise.org/,,39.755367,-121.60713,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biggs High,335.0,Biggs High School,public,9-12,169.0,3.0,3.0,Biggs,CA,25.0,Biggs Unified School District,605040.0,"3046 Second Street, 
Biggs, CA  95917",(530) 868-5825,,,60504000486.0,39.416092,-121.70642,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,3.0,,3.0,,2.0,,14,173,100,100,59097,3,2,4,33,52,19,26,17,53,8,26,28,28,94,96,59
Inspire School of Arts and Sciences,25413.0,Inspire School of Arts and Sciences,charter,9-12,444.0,8.0,5.0,Chico,CA,26.0,Chico Unified School District,608370.0,"335 West Sacramento Avenue, 
Chico, CA  95926",(530) 891-3090,(530) 891-3089,www.inspirecusd.org,60837012539.0,39.735165,-121.84863,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,6.0,,7.0,,21,316,98,100,60259,9,7,10,85,93,72,36,46,91,26,35,48,39,93,90,25
Chico High,340.0,Chico High School,public,9-12,1797.0,7.0,4.0,Chico,CA,26.0,Chico Unified School District,608370.0,"901 Esplanade, 
Chico, CA  95926",(530) 891-3026,(530) 891-3284,http://chs.chicousd.org/,60837000815.0,39.735928,-121.84451999999999,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,5.0,,6.0,,23,452,95,100,71223,7,6,8,61,424,51,171,45,423,33,169,41,24,94,92,33
Pleasant Valley High,354.0,Pleasant Valley High School,public,9-12,1816.0,8.0,3.0,Chico,CA,26.0,Chico Unified School District,608370.0,"1475 East Avenue, 
Chico, CA  95926",(530) 879-5100,(530) 879-5263,http://www.pvchico.org,60837000827.0,39.76116,-121.81713,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,6.0,,6.0,,24,480,96,100,73800,9,6,9,70,435,56,157,50,435,36,155,53,38,96,94,33
Durham High,360.0,Durham High School,public,9-12,287.0,6.0,4.0,Durham,CA,27.0,Durham Unified School District,611730.0,"9455 Putney Drive, 
Durham, CA  95938",(530) 895-4685,(530) 895-4688,www.durhamunified.org,61173001296.0,39.646267,-121.80313999999998,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,2.0,,3.0,,17,285,100,96,69327,7,3,9,63,62,46,26,39,62,15,26,58,32,94,93,33
Las Plumas High,380.0,Las Plumas High School,public,9-12,1092.0,5.0,3.0,Oroville,CA,34.0,Oroville Union High School District,629130.0,"2380 Las Plumas Avenue, 
Oroville, CA  95966",(530) 538-2310,(530) 534-5974,http://lphs.ouhsd.org,62913004495.0,39.480408000000004,-121.541,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,3.0,,4.0,,24,370,78,100,70697,5,4,5,52,221,51,168,21,224,19,170,17,14,93,92,64
Oroville High,381.0,Oroville High School,public,9-12,969.0,4.0,3.0,Oroville,CA,34.0,Oroville Union High School District,629130.0,"1535 Bridge Street, 
Oroville, CA  95966",(530) 538-2320,(530) 534-6203,http://ohs.ouhsd.org,62913004496.0,39.51432,-121.54591,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,4.0,,5.0,,22,327,86,98,70127,5,5,7,56,186,55,146,25,187,23,147,19,19,91,90,70
Paradise eLearning Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise Senior High,393.0,Paradise Senior High School,public,9-12,1083.0,7.0,3.0,Paradise,CA,36.0,Paradise Unified School District,629820.0,"5911 Maxwell Dr, 
Paradise, CA  95969",(530) 872-6425,(530) 872-6427,www.phs.pusdk12.org,62982004640.0,39.761627000000004,-121.6135,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,8.0,,6.0,,6.0,,25,369,88,100,34974,8,6,9,62,214,48,105,46,216,35,107,31,21,92,88,53
Gridley High,367.0,Gridley High School,public,9-12,617.0,5.0,3.0,Gridley,CA,30.0,Gridley Unified School District,600051.0,"300 East Spruce Street, 
Gridley, CA  95948",(530) 846-4791,(530) 846-3412,www.gusd.org,60005102016.0,39.36701,-121.6843,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,7.0,,6.0,,6.0,,20,313,88,100,71394,7,6,8,58,154,55,104,38,157,30,106,33,32,83,80,52
