,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Dublin High,56,Dublin High School,public,9-12,2273,10,4,Dublin,CA,6,Dublin Unified School District,0600019,"8151 Village Parkway, 
Dublin, CA  94568",(925) 833-3300,(925) 833-3322,www.dublinusd.org,060001909273,37.720997,-121.92639,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,9,,8,
Foothill High,6519,Foothill High School,public,9-12,1275,7,4,Palo Cedro,CA,742,Shasta Union High School District,0636600,"9733 Deschutes Road, 
Palo Cedro, CA  96073",(530) 547-1700,(530) 245-2700,www.foothillcougars.com/,063660010326,40.528996,-122.23866,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,8,7,,5,,6,
Amador Valley High,279,Amador Valley High School,public,9-12,2628,9,4,Pleasanton,CA,16,Pleasanton Unified School District,0600020,"1155 Santa Rita Road, 
Pleasanton, CA  94566",(925) 461-6100,(925) 461-6133,www.pleasanton.k12.ca.us/amador,060002009282,37.668297,-121.87327,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,6,,6,
Amador High,322,Amador High School,public,9-12,645,8,3,Sutter Creek,CA,23,Amador County Unified School District,0602450,"330 Spanish Street, 
Sutter Creek, CA  95685",(209) 257-7300,(209) 267-5942,http://www.amadorhigh.org/,060245008786,38.398773,-120.8097,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,9,7,,5,,7,
Argonaut High,323,Argonaut High School,public,9-12,498,6,4,Jackson,CA,23,Amador County Unified School District,0602450,"501 Argonaut Lane, 
Jackson, CA  95642",(209) 257-7700,(209) 223-3149,http://amadorcoe.org/,060245008787,38.353825,-120.79177,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,8,5,,4,,4,
Come Back Butte Charter,32570,Come Back Butte Charter,charter,11-12,,,,Oroville,CA,1087,Butte County Office Of Education School District,0691002,"5 County Center Drive, 
Oroville, CA  95965",(530) 532-5827,,www.bcoe.org/divisions/sps,069100214048,39.52438,-121.57068,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Achieve Charter High,32571,Achieve Charter High,charter,9-12,,,,Paradise,CA,1087,Butte County Office Of Education School District,0691002,"5850 Clark Road, 
Paradise, CA  95969",(530) 872-4100,,www.achsparadise.org/,,39.755367,-121.60713,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Biggs High,335,Biggs High School,public,9-12,169,3,3,Biggs,CA,25,Biggs Unified School District,0605040,"3046 Second Street, 
Biggs, CA  95917",(530) 868-5825,,,060504000486,39.416092,-121.70642,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,7,3,,3,,2,
Inspire School of Arts and Sciences,25413,Inspire School of Arts and Sciences,charter,9-12,444,8,5,Chico,CA,26,Chico Unified School District,0608370,"335 West Sacramento Avenue, 
Chico, CA  95926",(530) 891-3090,(530) 891-3089,www.inspirecusd.org,060837012539,39.735165,-121.84863,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,9,9,,6,,7,
Chico High,340,Chico High School,public,9-12,1797,7,4,Chico,CA,26,Chico Unified School District,0608370,"901 Esplanade, 
Chico, CA  95926",(530) 891-3026,(530) 891-3284,http://chs.chicousd.org/,060837000815,39.735928,-121.84452,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,8,7,,5,,6,
Pleasant Valley High,354,Pleasant Valley High School,public,9-12,1816,8,3,Chico,CA,26,Chico Unified School District,0608370,"1475 East Avenue, 
Chico, CA  95926",(530) 879-5100,(530) 879-5263,http://www.pvchico.org,060837000827,39.76116,-121.81713,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,9,9,,6,,6,
Durham High,360,Durham High School,public,9-12,287,6,4,Durham,CA,27,Durham Unified School District,0611730,"9455 Putney Drive, 
Durham, CA  95938",(530) 895-4685,(530) 895-4688,www.durhamunified.org,061173001296,39.646267,-121.80314,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,6,7,,2,,3,
Las Plumas High,380,Las Plumas High School,public,9-12,1092,5,3,Oroville,CA,34,Oroville Union High School District,0629130,"2380 Las Plumas Avenue, 
Oroville, CA  95966",(530) 538-2310,(530) 534-5974,http://lphs.ouhsd.org,062913004495,39.480408,-121.541,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/380-Las-Plumas-High-School/?utm_source=GSAPI&utm_medium=referral,5,5,,3,,4,
Oroville High,381,Oroville High School,public,9-12,969,4,3,Oroville,CA,34,Oroville Union High School District,0629130,"1535 Bridge Street, 
Oroville, CA  95966",(530) 538-2320,(530) 534-6203,http://ohs.ouhsd.org,062913004496,39.51432,-121.54591,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/381-Oroville-High-School/?utm_source=GSAPI&utm_medium=referral,5,5,,4,,5,
Paradise eLearning Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradise Senior High,393,Paradise Senior High School,public,9-12,1083,7,3,Paradise,CA,36,Paradise Unified School District,0629820,"5911 Maxwell Dr, 
Paradise, CA  95969",(530) 872-6425,(530) 872-6427,www.phs.pusdk12.org,062982004640,39.761627,-121.6135,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/paradise/393-Paradise-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,6,8,,6,,6,
Gridley High,367,Gridley High School,public,9-12,617,5,3,Gridley,CA,30,Gridley Unified School District,0600051,"300 East Spruce Street, 
Gridley, CA  95948",(530) 846-4791,(530) 846-3412,www.gusd.org,060005102016,39.36701,-121.6843,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/gridley/367-Gridley-High-School/?utm_source=GSAPI&utm_medium=referral,4,7,,6,,6,
Bret Harte Union High,637,Bret Harte Union High School,public,9-12,674,7,4,Angels Camp,CA,63,Bret Harte Union High School District,0605940,"364 Murphys Grade Road, 
Angels Camp, CA  95221",(209) 736-2507,(209) 736-8383,http://bhhs-bhuhsd-ca.schoolloop.com/,060594000537,38.081078,-120.55182,https://www.greatschools.org/california/angels-camp/637-Bret-Harte-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/angels-camp/637-Bret-Harte-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/angels-camp/637-Bret-Harte-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/angels-camp/637-Bret-Harte-Union-High-School/?utm_source=GSAPI&utm_medium=referral,9,7,,4,,5,
Calaveras High,639,Calaveras High School,public,9-12,947,5,4,San Andreas,CA,64,Calaveras Unified School District,0606870,"350 High School Street, 
San Andreas, CA  95249",(209) 754-1811,(209) 754-0276,http://www.calaveras.k12.ca.us/,060687000625,38.200478,-120.68382,https://www.greatschools.org/california/san-andreas/639-Calaveras-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-andreas/639-Calaveras-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-andreas/639-Calaveras-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-andreas/639-Calaveras-High-School/?utm_source=GSAPI&utm_medium=referral,6,6,,6,,5,
Colusa High,622,Colusa High School,public,9-12,371,5,5,Colusa,CA,59,Colusa Unified School District,0609570,"901 Colus Avenue, 
Colusa, CA  95932",(530) 458-2156,(530) 458-5783,www.colusahigh-colusausd-ca.schoolloop.com/,060957000966,39.2008,-122.0207,https://www.greatschools.org/california/colusa/622-Colusa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/colusa/622-Colusa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/colusa/622-Colusa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/colusa/622-Colusa-High-School/?utm_source=GSAPI&utm_medium=referral,6,6,,3,,4,
Maxwell Sr High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierce High,631,Pierce High School,public,9-12,442,5,3,Arbuckle,CA,61,Pierce Joint Unified School District,0630360,"960 Wildwood Road, 
Arbuckle, CA  95912",(530) 476-2277,(530) 476-3285,http://www.pierce.k12.ca.us/,063036004736,39.009384,-122.05599,https://www.greatschools.org/california/arbuckle/631-Pierce-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arbuckle/631-Pierce-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/arbuckle/631-Pierce-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/arbuckle/631-Pierce-High-School/?utm_source=GSAPI&utm_medium=referral,7,5,,4,,4,
Williams Junior/Senior High,634,Williams Junior/Senior High School,public,7-12,547,2,3,Williams,CA,62,Williams Unified School District,0642540,"222 11th Street, 
Williams, CA  95987",(530) 473-5369,(530) 473-5026,www.williamsusd.net,064254006964,39.15525,-122.1566,https://www.greatschools.org/california/williams/634-Williams-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/williams/634-Williams-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/williams/634-Williams-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/williams/634-Williams-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,4,1,,1,,1,
Summit Public School K2,31759,Summit Public School K2,charter,7-12,224,4,,El Cerrito,CA,1108,Contra Costa County Office Of Education School District,0691005,"1800 Elm Street, 
El Cerrito, CA  94530",(510) 435-2032,,www.k2.summitps.org,069100513776,37.92577,-122.31341,https://www.greatschools.org/california/el-cerrito/31759-Summit-Public-School-K2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-cerrito/31759-Summit-Public-School-K2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-cerrito/31759-Summit-Public-School-K2/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-cerrito/31759-Summit-Public-School-K2/?utm_source=GSAPI&utm_medium=referral,,5,,3,,4,
Invictus Academy of Richmond,32573,Invictus Academy Of Richmond,charter,7-12,,,,El Sobrante,CA,1108,Contra Costa County Office Of Education School District,0691005,"1121 Allview Avenue, 
El Sobrante, CA  94803",(408) 858-4154,,www.invictusofrichmond.org,,37.985733,-122.30765,https://www.greatschools.org/california/el-sobrante/32573-Invictus-Academy-Of-Richmond/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-sobrante/32573-Invictus-Academy-Of-Richmond/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-sobrante/32573-Invictus-Academy-Of-Richmond/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-sobrante/32573-Invictus-Academy-Of-Richmond/?utm_source=GSAPI&utm_medium=referral,,,,,,,
