,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Fremont High,5497.0,Fremont High School,public,9-12,1965.0,7.0,4.0,Sunnyvale,CA,635.0,Fremont Union High School District,614430.0,"1279 Sunnyvale-Saratoga Road, 
Sunnyvale, CA  94087",(408) 522-2400,(408) 522-2468,,61443001696.0,37.35253,-122.03249,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,3.0,,4.0,,20.0,436.0,91.0,98.0,88911.0,8.0,4.0,9.0,61.0,456.0,40.0,186.0,48.0,462.0,26.0,187.0,53.0,38.0,87.0,81.0,35.0,94087.0,Fremont High
LPS Oakland R & D Campus,26959.0,LPS Oakland R&D,charter,9-12,337.0,4.0,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"8601 Macarthur Boulevard, Building 100, 
Oakland, CA  94605",(510) 633-0750,,www.leadps.org,62805013155.0,37.759537,-122.16291,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,18.0,305.0,60.0,100.0,40485.0,3.0,3.0,3.0,47.0,104.0,47.0,101.0,,,,,100.0,100.0,84.0,84.0,93.0,94605.0,LPS Oakland R & D Campus
Conservatory of Vocal/Instrumental Arts High,32014.0,Conservatory Of Vocal/Instrumental Arts High,charter,9-12,100.0,,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"12500 Campus Drive, 
Oakland, CA  94619",(510) 328-1119,,www.covahigh.org,62805013888.0,37.789555,-122.16561000000002,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,,7.0,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,100.0,100.0,,94619.0,Conservatory of Vocal/Instrumental Arts High
Oakland High,247.0,Oakland High School,public,9-12,1583.0,3.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"1023 Macarthur Boulevard, 
Oakland, CA  94610",(510) 874-3676,(510) 879-3049,http://www.ousd.org/oaklandhigh,62805004304.0,37.80529,-122.23652,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,3.0,,2.0,,3.0,,20.0,525.0,82.0,88.0,53556.0,3.0,3.0,5.0,38.0,322.0,37.0,284.0,17.0,318.0,16.0,280.0,50.0,49.0,72.0,73.0,88.0,94610.0,Oakland High
Oakland Technical High,248.0,Oakland Technical High School,public,9-12,2016.0,8.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"4351 Broadway, 
Oakland, CA  94611",(510) 450-5400,(510) 879-3059,http://oaklandtech.com/staff/,62805004305.0,37.831726,-122.25413,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,4.0,,5.0,,21.0,402.0,83.0,96.0,54606.0,6.0,5.0,7.0,54.0,482.0,47.0,211.0,32.0,468.0,26.0,202.0,67.0,55.0,89.0,86.0,48.0,94611.0,Oakland Technical High
Skyline High,259.0,Skyline High School,public,9-12,1845.0,4.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"12250 Skyline Boulevard, 
Oakland, CA  94619",(510) 482-7109,(510) 482-7296,http://ousdhs.ousd.k12.ca.us/skyline/site/default.asp,62805004315.0,37.797497,-122.1636,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,5.0,,18.0,619.0,75.0,90.0,48014.0,5.0,5.0,5.0,45.0,233.0,44.0,174.0,28.0,174.0,27.0,127.0,50.0,49.0,78.0,78.0,76.0,94619.0,Skyline High
Piedmont High,275.0,Piedmont High School,public,9-12,800.0,10.0,4.0,Piedmont,CA,15.0,Piedmont City Unified School District,630330.0,"800 Magnolia Avenue, 
Piedmont, CA  94611",(510) 594-2626,,,63033004731.0,37.823673,-122.2329,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,,,,,17.0,287.0,94.0,100.0,74729.0,,,,,,,,,,,,,,,,,94611.0,Piedmont High
San Leandro High,300.0,San Leandro High School,public,9-12,2597.0,4.0,3.0,San Leandro,CA,17.0,San Leandro Unified School District,634680.0,"2200 Bancroft Avenue, 
San Leandro, CA  94577",(510) 618-4600,(510) 614-0986,http://www.slhs.net,63468005842.0,37.71713,-122.14256,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,3.0,,4.0,,30.0,862.0,95.0,100.0,85869.0,4.0,4.0,6.0,49.0,597.0,44.0,356.0,21.0,603.0,18.0,358.0,38.0,34.0,89.0,89.0,62.0,94577.0,San Leandro High
KIPP King Collegiate High,17514.0,KIPP King Collegiate High School,charter,9-12,559.0,9.0,4.0,San Lorenzo,CA,18.0,San Lorenzo Unified School District,634710.0,"2005b Via Barrett, 
San Lorenzo, CA  94580",(510) 317-2330,(510) 317-2333,www.kippbayarea.org,63471011893.0,37.67432,-122.15009,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,10.0,,10.0,,10.0,,20.0,,0.0,100.0,72253.0,10.0,10.0,10.0,84.0,141.0,85.0,34.0,55.0,141.0,59.0,34.0,100.0,100.0,93.0,94.0,69.0,94580.0,KIPP King Collegiate High
Arroyo High,1728.0,Arroyo High School,public,9-12,2228.0,7.0,4.0,El Monte,CA,273.0,El Monte Union High School District,612120.0,"4921 North Cedar Avenue, 
El Monte, CA  91732",(626) 444-9201,(626) 443-1175,www.emuhsd.org/ahs,61212001363.0,34.09368,-118.02058999999998,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,4.0,,6.0,,23.0,372.0,92.0,100.0,75108.0,6.0,6.0,9.0,54.0,534.0,51.0,463.0,39.0,533.0,38.0,462.0,56.0,54.0,91.0,91.0,86.0,91732.0,Arroyo High
San Lorenzo High,316.0,San Lorenzo High School,public,9-12,1386.0,3.0,4.0,San Lorenzo,CA,18.0,San Lorenzo Unified School District,634710.0,"50 East Lewelling Boulevard, 
San Lorenzo, CA  94580",(510) 317-3000,(510) 278-0547,http://slzhs.schoolloop.com/,63471005859.0,37.686687,-122.12256,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,18.0,349.0,76.0,47.0,52893.0,3.0,3.0,4.0,41.0,322.0,38.0,235.0,16.0,318.0,16.0,229.0,38.0,37.0,90.0,89.0,77.0,94580.0,San Lorenzo High
Dublin High,56.0,Dublin High School,public,9-12,2273.0,10.0,4.0,Dublin,CA,6.0,Dublin Unified School District,600019.0,"8151 Village Parkway, 
Dublin, CA  94568",(925) 833-3300,(925) 833-3322,www.dublinusd.org,60001909273.0,37.720997,-121.92638999999998,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dublin/56-Dublin-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,9.0,,8.0,,24.0,379.0,77.0,100.0,88224.0,10.0,8.0,10.0,81.0,616.0,69.0,62.0,66.0,609.0,43.0,60.0,75.0,45.0,97.0,94.0,9.0,94568.0,Dublin High
Foothill High,6519.0,Foothill High School,public,9-12,1275.0,7.0,4.0,Palo Cedro,CA,742.0,Shasta Union High School District,636600.0,"9733 Deschutes Road, 
Palo Cedro, CA  96073",(530) 547-1700,(530) 245-2700,www.foothillcougars.com/,63660010326.0,40.528996,-122.23866,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,5.0,,6.0,,24.0,338.0,91.0,100.0,80114.0,7.0,6.0,7.0,58.0,296.0,51.0,75.0,42.0,296.0,33.0,75.0,44.0,33.0,96.0,93.0,24.0,96073.0,Foothill High
Amador Valley High,279.0,Amador Valley High School,public,9-12,2628.0,9.0,4.0,Pleasanton,CA,16.0,Pleasanton Unified School District,600020.0,"1155 Santa Rita Road, 
Pleasanton, CA  94566",(925) 461-6100,(925) 461-6133,www.pleasanton.k12.ca.us/amador,60002009282.0,37.668297,-121.87327,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pleasanton/279-Amador-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,6.0,,24.0,425.0,93.0,99.0,94108.0,10.0,6.0,10.0,80.0,632.0,53.0,51.0,71.0,624.0,41.0,51.0,73.0,56.0,97.0,90.0,6.0,94566.0,Amador Valley High
Amador High,322.0,Amador High School,public,9-12,645.0,8.0,3.0,Sutter Creek,CA,23.0,Amador County Unified School District,602450.0,"330 Spanish Street, 
Sutter Creek, CA  95685",(209) 257-7300,(209) 267-5942,http://www.amadorhigh.org/,60245008786.0,38.398773,-120.8097,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sutter-creek/322-Amador-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,5.0,,7.0,,25.0,331.0,92.0,100.0,60721.0,7.0,7.0,7.0,63.0,155.0,66.0,71.0,29.0,156.0,25.0,72.0,43.0,24.0,97.0,96.0,40.0,95685.0,Amador High
Argonaut High,323.0,Argonaut High School,public,9-12,498.0,6.0,4.0,Jackson,CA,23.0,Amador County Unified School District,602450.0,"501 Argonaut Lane, 
Jackson, CA  95642",(209) 257-7700,(209) 223-3149,http://amadorcoe.org/,60245008787.0,38.353825,-120.79177,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/jackson/323-Argonaut-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,4.0,,4.0,,23.0,254.0,89.0,98.0,60151.0,5.0,4.0,5.0,49.0,87.0,39.0,31.0,26.0,88.0,29.0,31.0,26.0,19.0,98.0,96.0,37.0,95642.0,Argonaut High
Come Back Butte Charter,32570.0,Come Back Butte Charter,charter,11-12,,,,Oroville,CA,1087.0,Butte County Office Of Education School District,691002.0,"5 County Center Drive, 
Oroville, CA  95965",(530) 532-5827,,www.bcoe.org/divisions/sps,69100214048.0,39.52438,-121.57068,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oroville/32570-Come-Back-Butte-Charter/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,8.0,8.0,,95965.0,Come Back Butte Charter
Achieve Charter High,32571.0,Achieve Charter High,charter,9-12,,,,Paradise,CA,1087.0,Butte County Office Of Education School District,691002.0,"5850 Clark Road, 
Paradise, CA  95969",(530) 872-4100,,www.achsparadise.org/,,39.755367,-121.60713,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/paradise/32571-Achieve-Charter-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95969.0,Achieve Charter High
Biggs High,335.0,Biggs High School,public,9-12,169.0,3.0,3.0,Biggs,CA,25.0,Biggs Unified School District,605040.0,"3046 Second Street, 
Biggs, CA  95917",(530) 868-5825,,,60504000486.0,39.416092,-121.70642,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/biggs/335-Biggs-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,3.0,,3.0,,2.0,,14.0,173.0,100.0,100.0,59097.0,3.0,2.0,4.0,33.0,52.0,19.0,26.0,17.0,53.0,8.0,26.0,28.0,28.0,94.0,96.0,59.0,95917.0,Biggs High
Inspire School of Arts and Sciences,25413.0,Inspire School of Arts and Sciences,charter,9-12,444.0,8.0,5.0,Chico,CA,26.0,Chico Unified School District,608370.0,"335 West Sacramento Avenue, 
Chico, CA  95926",(530) 891-3090,(530) 891-3089,www.inspirecusd.org,60837012539.0,39.735165,-121.84863,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/25413-Inspire-School-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,6.0,,7.0,,21.0,316.0,98.0,100.0,60259.0,9.0,7.0,10.0,85.0,93.0,72.0,36.0,46.0,91.0,26.0,35.0,48.0,39.0,93.0,90.0,25.0,95926.0,Inspire School of Arts and Sciences
Chico High,340.0,Chico High School,public,9-12,1797.0,7.0,4.0,Chico,CA,26.0,Chico Unified School District,608370.0,"901 Esplanade, 
Chico, CA  95926",(530) 891-3026,(530) 891-3284,http://chs.chicousd.org/,60837000815.0,39.735928,-121.84452,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/340-Chico-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,5.0,,6.0,,23.0,452.0,95.0,100.0,71223.0,7.0,6.0,8.0,61.0,424.0,51.0,171.0,45.0,423.0,33.0,169.0,41.0,24.0,94.0,92.0,33.0,95926.0,Chico High
Pleasant Valley High,354.0,Pleasant Valley High School,public,9-12,1816.0,8.0,3.0,Chico,CA,26.0,Chico Unified School District,608370.0,"1475 East Avenue, 
Chico, CA  95926",(530) 879-5100,(530) 879-5263,http://www.pvchico.org,60837000827.0,39.76116,-121.81713,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chico/354-Pleasant-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,6.0,,6.0,,24.0,480.0,96.0,100.0,73800.0,9.0,6.0,9.0,70.0,435.0,56.0,157.0,50.0,435.0,36.0,155.0,53.0,38.0,96.0,94.0,33.0,95926.0,Pleasant Valley High
Durham High,360.0,Durham High School,public,9-12,287.0,6.0,4.0,Durham,CA,27.0,Durham Unified School District,611730.0,"9455 Putney Drive, 
Durham, CA  95938",(530) 895-4685,(530) 895-4688,www.durhamunified.org,61173001296.0,39.646267,-121.80313999999998,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/durham/360-Durham-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,2.0,,3.0,,17.0,285.0,100.0,96.0,69327.0,7.0,3.0,9.0,63.0,62.0,46.0,26.0,39.0,62.0,15.0,26.0,58.0,32.0,94.0,93.0,33.0,95938.0,Durham High
